iterations	1378
elapsed_seconds	500.285747051239
initialization_seconds	0.23347997665405273
initial_lower_residual	8.77845263147492e-9
initial_upper_residual	9.972599634977541e-9
initial_upper_iterations	162
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	0.0
root_lower	6.398537924473505
root_upper	6.418416397888517
root_gap	0.019878473415012365
alpha_count	8
belief_count	6877249
stop_reason	max_time
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
