iterations	471
elapsed_seconds	500.31587290763855
initialization_seconds	0.1990361213684082
initial_lower_residual	8.77845263147492e-9
initial_upper_residual	9.972599634977541e-9
initial_upper_iterations	162
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	0.0
root_lower	6.5216079108024525
root_upper	6.541300576625101
root_gap	0.019692665822648614
alpha_count	7
belief_count	6592804
stop_reason	max_time
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
