iterations	163
elapsed_seconds	121.6862690448761
initialization_seconds	0.2289440631866455
initial_lower_residual	8.175562005163783e-9
initial_upper_residual	0.0
initial_upper_iterations	2
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	0.0
root_lower	8.852332757881493
root_upper	8.86210052452696
root_gap	0.00976776664546719
alpha_count	13
belief_count	7360046
stop_reason	precision
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
