iterations	977
elapsed_seconds	243.05539298057556
initialization_seconds	0.24344587326049805
initial_lower_residual	8.831180675628048e-9
initial_upper_residual	0.0
initial_upper_iterations	2
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	0.0
root_lower	8.602065996860654
root_upper	8.61201038040731
root_gap	0.00994438354665661
alpha_count	10
belief_count	11674741
stop_reason	precision
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
