iterations	451
elapsed_seconds	500.2238459587097
initialization_seconds	0.24489307403564453
initial_lower_residual	8.796948947065175e-9
initial_upper_residual	9.137148815341334e-9
initial_upper_iterations	157
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	8.796948947065176e-8
root_lower	2.8348933851820166
root_upper	3.428127217269294
root_gap	0.5932338320872774
alpha_count	19
belief_count	4971016
stop_reason	max_time
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
