iterations	62
elapsed_seconds	5.948376178741455
initialization_seconds	0.1546030044555664
initial_lower_residual	8.658447292475557e-9
initial_upper_residual	9.137148815341334e-9
initial_upper_iterations	157
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	0.0
root_lower	4.593268255939967
root_upper	4.603258709051563
root_gap	0.00999045311159552
alpha_count	7
belief_count	1387009
stop_reason	precision
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
