iterations	208
elapsed_seconds	706.1172471046448
initialization_seconds	145.31383109092712
initial_lower_residual	8.658447292475557e-9
initial_upper_residual	9.415906276899477e-9
initial_upper_iterations	-1
initial_upper_bound	fib
initial_lower_subsolution_shift	3.7482448256298546e-8
root_lower	2.919210863318688
root_upper	3.4543503576582446
root_gap	0.5351394943395564
alpha_count	23
belief_count	7677307
stop_reason	max_time
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
