iterations	19
elapsed_seconds	511.8346610069275
initialization_seconds	0.1587061882019043
initial_lower_residual	9.844669079939194e-9
initial_upper_residual	9.941246048583707e-9
initial_upper_iterations	1628
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	0.0
root_lower	45.400893804287236
root_upper	50.79217887525206
root_gap	5.391285070964827
alpha_count	7
belief_count	7416340
stop_reason	max_time
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
