epsilon,n_seeds,mean_delta_w,std_delta_w,median_delta_w,min_delta_w,max_delta_w,positive_count,positive_fraction,positive_percent,mean_positive_delta_w,std_positive_delta_w
0.01,60,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,
0.02,60,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,
0.03,60,0.00028202192600144856,0.0015647647016966424,0.0,0.0,0.0102024309558022,2,0.03333333333333333,3.3333333333333335,0.008460657780043457,0.002463239247735671
0.04,60,0.0014608622564859027,0.0063731379075558,0.0,0.0,0.0368004243241562,5,0.08333333333333333,8.333333333333334,0.017530347077830834,0.015715263990259614
0.05,60,0.0026011349724617567,0.00968042837702671,0.0,0.0,0.055569472501621586,8,0.13333333333333333,13.333333333333334,0.019508512293463176,0.02031969028752329
0.06,60,0.0032679719012157567,0.011062380964236201,0.0,0.0,0.06545415214053119,11,0.18333333333333332,18.333333333333332,0.017825301279358673,0.020894553073480676
0.07,60,0.004468708935204624,0.012851184609272374,0.0,0.0,0.07142833904648294,12,0.2,20.0,0.02234354467602312,0.021216154896287094
0.08,60,0.00590337276937137,0.01666422472939466,0.0,0.0,0.07947933492834824,12,0.2,20.0,0.02951686384685685,0.027001906247652304
0.09,60,0.005612132909704274,0.017326983413374655,0.0,0.0,0.08454213287320655,12,0.2,20.0,0.02806066454852137,0.030382692901102414
0.1,60,0.007513944762514135,0.019817600147677115,0.0,0.0,0.0895317267285991,12,0.2,20.0,0.03756972381257068,0.029574638162071856
