epsilon,n_seeds,mean_normalized_normal_value,std_normalized_normal_value,mean_normalized_lower_bound_value,std_normalized_lower_bound_value,max_gap_normal_trajectory,max_gap_lower_bound_trajectory
0.01,60,1.0,0.0,1.0,0.0,1.0,1.0
0.02,60,0.9985044395722527,0.0013392189174704179,0.9985044395722527,0.0013392189174704179,0.9967197461640384,0.9967197461640384
0.03,60,0.9970091603613119,0.0026707385490121935,0.9969170780642714,0.002772551284515386,0.9934028060827284,0.9934028060827284
0.04,60,0.9955312150362565,0.003984978115428225,0.9950839872749284,0.0046188831941183965,0.9900487028668913,0.9900487028668913
0.05,60,0.9940761563109269,0.005275418207026613,0.9933293915630622,0.006495671383898679,0.9866569497583435,0.9866569497583435
0.06,60,0.9926420026383556,0.0065384492561931075,0.9916808438247259,0.007918262136454461,0.9832643568391507,0.9815804444432092
0.07,60,0.9912231491992969,0.0077777634432594734,0.9898924978960891,0.009628726807290364,0.9799102053104063,0.9781072213346306
0.08,60,0.9898329497688602,0.008976392071248234,0.9881175354221957,0.011508111099106275,0.9776853314105768,0.9564335451080005
0.09,60,0.9884398389096769,0.010175469868984956,0.9867926886281031,0.012803621779703308,0.9754876322064738,0.9528821166595066
0.1,60,0.9870534523541891,0.01137004890200675,0.9848763969708764,0.01437154169908114,0.9732301097271476,0.949290438799451
