iterations	217
elapsed_seconds	603.4630460739136
initialization_seconds	0.2745828628540039
initial_lower_residual	8.666894202313813e-9
initial_upper_residual	9.988130322824418e-9
initial_upper_iterations	168
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	0.0
root_lower	1.6739036758732664
root_upper	1.7419392357534558
root_gap	0.06803555988018939
alpha_count	13
belief_count	6741799
stop_reason	max_time
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
