mdp_seed,epsilon,sarsop_gap,solver_stop_reason,solver_elapsed_seconds,target_precision,acceptance_threshold
1537984211,0.01,0.010149821831363148,precision,22.682719945907593,0.01,0.5
1537984211,0.02,0.010531998894490968,precision,58.41793513298035,0.01,0.5
1537984211,0.03,0.01110818928293078,precision,58.92191696166992,0.01,0.5
1537984211,0.04,0.010106537986077413,precision,99.08421301841736,0.01,0.5
1537984211,0.05,0.01091788234670954,precision,63.32240605354309,0.01,0.5
1537984211,0.06,0.0105200795735918,precision,142.0270848274231,0.01,0.5
1537984211,0.07,0.010473322881185076,precision,179.87171578407288,0.01,0.5
1537984211,0.08,0.010688627145965413,precision,132.81085014343262,0.01,0.5
1537984211,0.09,0.010891679764053919,precision,184.93701004981995,0.01,0.5
1537984211,0.1,0.010794830780599618,precision,136.77212500572205,0.01,0.5
1337446311,0.01,0.010404903498114848,precision,38.65993690490723,0.01,0.5
1337446311,0.02,0.010710165059700572,precision,25.64377498626709,0.01,0.5
1337446311,0.03,0.011068601151255741,precision,37.31984281539917,0.01,0.5
1337446311,0.04,0.00830904221162676,precision,40.83754086494446,0.01,0.5
1337446311,0.05,0.007789238510755858,precision,58.87823796272278,0.01,0.5
1337446311,0.06,0.009803776665889608,precision,66.63485407829285,0.01,0.5
1337446311,0.07,0.010812394893745747,precision,56.19538903236389,0.01,0.5
1337446311,0.08,0.010709093166308747,precision,61.3012900352478,0.01,0.5
1337446311,0.09,0.010026129726005806,precision,47.65923094749451,0.01,0.5
1337446311,0.1,0.011023334946326457,precision,32.497143030166626,0.01,0.5
519714379,0.01,0.010340193504796424,precision,79.28782200813293,0.01,0.5
519714379,0.02,0.01072440879768588,precision,49.935081005096436,0.01,0.5
519714379,0.03,0.010904663950389137,precision,71.36188292503357,0.01,0.5
519714379,0.04,0.010897427351373112,precision,80.81320023536682,0.01,0.5
519714379,0.05,0.010935914335543861,precision,118.90020895004272,0.01,0.5
519714379,0.06,0.011048106697049587,precision,213.6892340183258,0.01,0.5
519714379,0.07,0.01108133007593537,precision,317.16613388061523,0.01,0.5
519714379,0.08,0.010944559067131543,precision,184.8544430732727,0.01,0.5
519714379,0.09,0.01100534343865589,precision,91.88847708702087,0.01,0.5
519714379,0.1,0.010851823591164322,precision,96.29774308204651,0.01,0.5
1343758231,0.01,0.00995786275020727,precision,56.48541593551636,0.01,0.5
1343758231,0.02,0.009373252427163692,precision,55.72969603538513,0.01,0.5
1343758231,0.03,0.010846633169570907,precision,61.2461621761322,0.01,0.5
1343758231,0.04,0.010166903056822107,precision,67.54790997505188,0.01,0.5
1343758231,0.05,0.009768295757206502,precision,137.8418049812317,0.01,0.5
1343758231,0.06,0.01107592636395438,precision,187.36726093292236,0.01,0.5
1343758231,0.07,0.010925183043212883,precision,136.9561219215393,0.01,0.5
1343758231,0.08,0.011001792843741143,precision,226.3180878162384,0.01,0.5
1343758231,0.09,0.010996829392039054,precision,133.27907609939575,0.01,0.5
