iterations	245
elapsed_seconds	702.827005147934
initialization_seconds	0.15254807472229004
initial_lower_residual	8.658447292475557e-9
initial_upper_residual	9.137148815341334e-9
initial_upper_iterations	157
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	7.457265915888912e-8
root_lower	2.8394334453323626
root_upper	3.9670381220555644
root_gap	1.1276046767232017
alpha_count	21
belief_count	8835856
stop_reason	max_time
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
