iterations	145
elapsed_seconds	1565.4031689167023
initialization_seconds	256.36698603630066
initial_lower_residual	8.658447292475557e-9
initial_upper_residual	9.087955277209403e-9
initial_upper_iterations	-1
initial_upper_bound	fib
initial_lower_subsolution_shift	7.457265915888912e-8
root_lower	2.8354296385268416
root_upper	3.5168161975951024
root_gap	0.6813865590682608
alpha_count	20
belief_count	4721788
stop_reason	max_time
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
