iterations	229
elapsed_seconds	458.716922044754
initialization_seconds	0.38605594635009766
initial_lower_residual	8.658447292475557e-9
initial_upper_residual	9.137148815341334e-9
initial_upper_iterations	157
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	0.0
root_lower	4.5421463233295185
root_upper	4.552034456946099
root_gap	0.009888133616580141
alpha_count	5
belief_count	6609961
stop_reason	precision
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
